"RBD","NOMBRE_ESTA","DEPENDENCIA","SOSTENEDOR","REGION","COMUNA","DIRECCION","TELEFONO","E-MAIL","Discapacidad Auditiva","Discapacidad Intelectual","Discapacidad Visual","Trastornos Específicos del Lenguaje","Trastornos Motores","Autismo","Graves Alteraciones en la Capacidad de Relación y Comunicación"
719,"COLEGIO YUNGAY","Municipal Daem","Ilustre Municipalidad De Ovalle",4,"OVALLE","YUNGAY N° 391 POB. FRAY JORGE","53 - 2620162","colyunga@gmail.com","no","si","no","no","no","no","no"
1126,"ESCUELA ESPECIAL SOL NACIENTE","Municipal Daem","Ilustre Municipalidad De La Ligua",5,"LA LIGUA","GOENECHEA N° 373","33 - 2714447","e.solnaciente2014@gmail.com","no","si","no","no","no","no","no"
1201,"ESCUELA ESPECIAL VALLE ANDINO","Municipal Daem","Ilustre Municipalidad De Los Andes",5,"LOS ANDES","ASTURIAS N° 1060","34 - 2421756","escuelaespecialva@gmail.com","no","si","no","no","no","no","no"
1276,"ESCUELA ESPECIAL SAGRADO CORAZON","Municipal Daem","Ilustre Municipalidad De San Felipe",5,"SAN FELIPE","JOAQUIN OLIVA N° 161 POBLACION YUNGAY","34 - 2513525","escuelaespecialsagradocorazon@daem.cl","no","si","no","no","no","no","no"
1319,"ESCUELA ESPECIAL MARÍA REBECA ESPÍNOLA ESPINOSA DE SANTA MARÍA","Municipal Daem","Ilustre Municipalidad De Santa Maria",5,"SANTA MARÍA","SAN FERNANDO 748","34 - 345106","escuelamariaespinolae@gmail.com","no","si","no","no","no","no","no"
1352,"ESCUELA MARIA TERESA DEL CANTO","Municipal Daem","Ilustre Municipalidad De Catemu",5,"CATEMU","B.GARCIA HUIDOBRO S/N LADO PLAZA CATEMU","34 - 631365","marco@daemcatemu.cl","no","si","no","no","no","no","no"
1374,"ESCUELA ESPECIAL LOS PALTOS","Municipal Daem","Ilustre Municipalidad De Quillota",5,"QUILLOTA","CALLE NUEVE N° 621 POBL LOS PALTOS","33 - 2296682","ceilospaltos@hotmail.com","no","si","no","no","no","no","si"
1402,"CENTRO EDUCACIONAL ARCO IRIS BAJO EL SOL","Particular Subvencionado","Sociedad Educacional Arco Iris Bajo El Sol Spa",5,"QUILLOTA","MAIPU  N° 51","33 - 2311966","esc.especialarcoiris@gmail.com","no","si","no","no","no","no","no"
1428,"ESCUELA ESPECIAL JESUS DE NAZARETH","Municipal Daem","Ilustre Municipalidad De La Calera",5,"LA CALERA","AMSTERDAM N° 465","33 - 222448","jnazaret@gmail.com","no","si","no","no","no","no","no"
1455,"ESCUELA MONICA HURTADO EDWARDS","Municipal Daem","Ilustre Municipalidad De Hijuelas",5,"HIJUELAS","PETORQUITA N° 621","33 - 272195","evananflores@gmail.com","no","si","no","no","no","no","no"
1500,"COLEGIO PART. IGNACIO CARRERA PINTO","Particular Subvencionado","Soc.Colegio Ignacio Carrera Pinto Ltda.",5,"OLMUÉ","PRAT N° 4917","33 - 2443630","cicpolmue@gmail.com","no","no","no","si","no","no","no"
1506,"CENTRO EDUCATIVO FLORIDA","Municipal Corporación","Corp.Munic.De Valparaiso Para El Des.Soc",5,"VALPARAÍSO","MENA N° 837 Cº FLORIDA","32 - 2135096","pattyaguileramartinez@gmail.com","no","si","no","no","no","no","no"
1508,"ESC. ESPEC. DE DEF. MENTAL GRAN BRETA_A","Municipal Corporación","Corp.Munic.De Valparaiso Para El Des.Soc",5,"VALPARAÍSO","ELOY ALFARO","32 - 2135093","diregbretana@cormuval.cl","no","si","no","no","no","si","no"
1509,"ESC. ESPEC. DE DEF. MENTAL LUZ DE ESPERANZA","Municipal Corporación","Corp.Munic.De Valparaiso Para El Des.Soc",5,"VALPARAÍSO","1º DE MAYO S/N - SECTOR Mª EILERS - Cº PLACERES","32 - 2135103","esc_f288@yahoo.es","no","si","no","no","no","no","no"
1510,"ESCUELA ESPECIAL DE LENGUAJE LIBERTADOR DE LA PATRIA BERNARDO O'HIGGINS","Municipal Corporación","Corp.Munic.De Valparaiso Para El Des.Soc",5,"VALPARAÍSO","SAN IGNACIO S/N","32 - 22135071","direbohiggin@cormuval.cl","no","no","no","si","no","no","no"
1511,"CENTRO EDUCATIVO REINO DE SUECIA","Municipal Corporación","Corp.Munic.De Valparaiso Para El Des.Soc",5,"VALPARAÍSO","LIBERTAD ESQ. SOUPER S/N PLAYA ANCHA VALPARAÍSO","32 - 2135077","dirersuecia@cormuval.cl","no","si","no","no","no","no","no"
1666,"C.E.I.A. LOS CASTANOS","Municipal Corporación","Corp.Mun.Vina Del Mar Para Des.Social",5,"VIÑA DEL MAR","LOS CASTANOS N° 225","32 - 2393580","ecec@cmvm.cl","no","si","no","no","no","no","no"
1667,"ESCUELA ESPECIAL ADOLFO TANNENBAUM  B.","Municipal Corporación","Corp.Mun.Vina Del Mar Para Des.Social",5,"VIÑA DEL MAR","INDICO N° 4641 1º SECTOR G.CARRENO","32 - 2393569","ceciliaporziolopez@yahoo.es","si","no","no","si","no","no","no"
1668,"ESCUELA ESPECIAL RAPA NUI","Municipal Corporación","Corp.Mun.Vina Del Mar Para Des.Social",5,"VIÑA DEL MAR","CALLE OCHO ENTRE 19 Y 20 NORTE Nº 2118. SANTA INÉS.","3 - 2393572","solemillones@gmail.com","no","si","no","no","no","no","si"
1669,"ESCUELA ESPECIAL JUANITA DE AGUIRRE CERDA","Municipal Corporación","Corp.Mun.Vina Del Mar Para Des.Social",5,"VIÑA DEL MAR","CALLE PEÑABLANCA N° 253","32 - 2393563","jaespecial@gmail.com","no","si","no","no","no","si","no"
1689,"ESCUELA ORO NEGRO","Municipal Daem","Ilustre Municipalidad De Con Con",5,"CONCÓN","TIERRA DEL FUEGO N° 850","32 - 2811756","escuelaoronegro@hotmail.com","no","si","no","no","no","no","no"
1746,"INST. DESARR. PARA NINOS CON S.DOWN","Particular Subvencionado","Corporacion Renacer",5,"VIÑA DEL MAR","7 ORIENTE N° 384","32 - 2977520","renacer384@yahoo.es","no","si","no","no","no","no","no"
1760,"ESCUELA ESPECIAL JUAN SANDOVAL C.","Particular Subvencionado","Corporacion Educacional Juan Xxiii",5,"VIÑA DEL MAR","VICTOR DOMINGO SILVA N° 135","32 - 2674552","juan_sandovalcarrasco@hotmail.com","no","si","no","no","no","no","no"
1763,"CENTRO TRAT. INTEGRAL LAS DALIAS","Particular Subvencionado","Fundacion Educacion Coanil",5,"VIÑA DEL MAR","PASAJE 4  Nº 2777 PARADERO EL PALTO MIRAFLORES ALTO","32 - 2648168","uelasdalias@coanil.cl","no","si","no","no","no","no","no"
1885,"COLEGIO CAPITAN IGNACIO CARRERA PINTO","Municipal Corporación","Corp. Municipal De Educacion De Quilpue",5,"QUILPUÉ","EUSEBIO LILLO N° 2149","32 - 2914260","sonia.alvarado@cmq.cl","no","no","no","si","no","no","no"
1886,"COLEGIO MANUEL BULNES PRIETO","Municipal Corporación","Corp. Municipal De Educacion De Quilpue",5,"QUILPUÉ","COVADONGA N° 1250","32 - 2910517","camila.pereira@cmq.cl","no","no","no","si","no","no","no"
1918,"COLEGIO LOS LEONES DE QUILPUE","Particular Subvencionado","Sociedad Educativa Los Leones De Quilpue Ltda",5,"QUILPUÉ","URANO N° 2108 POB. SOL DEL PACIFICO","32 - 2827482","jelortegui@gmail.com","no","no","no","si","no","no","no"
1972,"ESCUELA DE EDUC. DIFERENCIAL NUEVO AMANECER","Municipal Corporación","Corp.Municipal Para Des.Social-V.Alemana",5,"VILLA ALEMANA","ALONSO DE ERCILLA N° 150","32 - 3243459","nuevoamanecer@cmva.cl","no","si","no","no","no","no","no"
2011,"ESCUELA ESPECIAL DIVINO MAESTRO","Municipal Daem","Ilustre Municipalidad De San Antonio",5,"SAN ANTONIO","AV. BAQUEDANO N° 931","35 - 2283801","escueladivinomaestro@gmail.com","no","si","no","no","no","no","no"
2053,"INSTITUTO PSICOPEDAGOGICO","Particular Subvencionado","Soc. Educ. Instituto Psicopedagogico Ltda.",5,"SAN ANTONIO","4 SUR BARRANCAS N° 95","35 - 2284625","discap95@yahoo.es","no","si","no","no","no","no","no"
2133,"COL.ESPECIAL DR. RICARDO OLEA GULDEMONT","Municipal Corporación","Corp Municp Serv Publ Trasp De Rancagua",6,"RANCAGUA","AVDA. GENERAL BULNES N° 219 POBLACIÓN RANCAGUA SUR","72 - 2222285","ricardo.olea@cormun.cl","no","si","no","no","no","no","no"
2243,"COLEGIO NATALIA PERALTA P","Municipal Daem","Ilustre Municipalidad De Codegua",6,"CODEGUA","OHIGGINS N° 376","72 - 2973531","colegionataliaperalta@gmail.com","no","si","no","no","no","no","no"
2246,"COLEGIO JUAN TACHOIRE MOENA","Municipal Daem","Ilustre Municipalidad De Machali",6,"MACHALÍ","CASTRO N° 397","72 - 412334","directorjuantachoire@educacionmachali.cl","no","si","no","no","no","no","no"
2291,"ESCUELA DIFERENCIAL TERESA NARETTO DE NICOLETTI","Municipal Daem","Ilustre Municipalidad De Rengo",6,"RENGO","SERRANO N°430","72 - 2511815","etnn2017@gmail.com","no","si","no","no","no","no","no"
2327,"COLEGIO MUNICIPAL DE EDUCACION ESPECIAL","Municipal Daem","Ilustre Municipalidad Quinta De Tilcoco",6,"QUINTA DE TILCOCO","AVENIDA CASTRO N°301","72 - 541695","blagua26@hotmail.com","no","si","no","no","no","no","no"
2328,"ESCUELA ESPECIAL PAULA JARAQUEMADA","Municipal Corporación","Corp Desarrollo De San Vicente De T.T.",6,"SAN VICENTE","TAGUA TAGUA N° 521","72 - 2626405","epja@educacionsanvicente.cl","no","si","no","no","no","no","no"
2463,"COLEGIO HERMANO FERNANDO DE LA FUENTE","Municipal Corporación","Corporacion Municipal De San Fernando",6,"SAN FERNANDO","NEGRETE N° 770","0 - 0","hno.fernandodelafuente@gmail.com","no","si","no","no","no","no","no"
2554,"ESCUELA ESPECIAL DE SANTA CRUZ","Municipal Daem","Ilustre Municipalidad De Santa Cruz",6,"SANTA CRUZ","CABELLO N° 150","72 - 821988","maryromang@gmail.com","no","si","no","no","no","no","no"
2730,"CENTRO EDUCATIVO INTEGRAL DE CURICO (CEIC)","Municipal Daem","Ilustre Municipalidad De Curico",7,"CURICÓ","DOCTOR OSORIO N° 744","75 - 311482","ceic@daemcco.cl","no","si","no","no","no","no","no"
2932,"ESCUELA ESPECIAL ESPANA","Municipal Daem","Ilustre Municipalidad De Talca",7,"TALCA","7 ORIENTE N° 14 NORTE 2300","7 - 234285","escespanaf158@hotmail.com","no","si","no","no","no","no","no"
2933,"ESCUELA CENTRO DE CAPACITACION LABORAL","Municipal Daem","Ilustre Municipalidad De Talca",7,"TALCA","CAMINO A SAN CLEMENTE KM 5","71 - 2241385","iberiad135@gmail.com","no","si","no","no","no","no","no"
2994,"ESCUELA ESPECIAL EVANGEL.PRESBITERIANA","Particular Subvencionado","Iglesia Evangelica Presbiteriana De Talca",7,"TALCA","4 PONIENTE N° 390","71 - 2231442","escuelaeept@gmail.com","no","si","no","no","no","no","no"
3017,"ESCUELA SAN RAFAEL","Municipal Daem","Ilustre Municipalidad De San Rafael",7,"SAN RAFAEL","AVENIDA SAN RAFAEL Nº 9","71 - 2651001","escueladesanrafael@hotmail.com","no","no","no","si","no","no","no"
3170,"MAESTRA M.FRESIA HORMAZABAL LETELIER","Municipal Daem","Ilustre Municipalidad De Constitucion",7,"CONSTITUCIÓN","TOCORNAL N° 220","71 - 2249820","especialconstitucion@hotmail.com","no","si","no","no","no","no","no"
3244,"ESCUELA ESPECIAL LAS VIOLETAS","Municipal Daem","Ilustre Municipalidad De Linares",7,"LINARES","BRASIL ESQ. LOS COPIHUES S/N","73 - 633307","mmarimunoz@hotmail.com","no","si","no","no","no","no","no"
3390,"ESCUELA LUIS ARMANDO GOMEZ MUNOZ","Municipal Daem","Ilustre Municipalidad De Parral",7,"PARRAL","DOS SUR N° 800","0 - 0","esc.luisarmandogomez@daemparral.cl","no","no","no","si","no","no","no"
3484,"ESCUELA DE EDUCACION DIFERENCIAL","Municipal Daem","Ilustre Municipalidad De San Javier",7,"SAN JAVIER","ARTURO PRAT N° 3280","73 - 322033","emasepul@hotmail.com","no","si","no","no","no","no","no"
3537,"ESCUELA ESPECIAL HORIZONTE","Municipal Daem","Ilustre Municipalidad De Cauquenes",7,"CAUQUENES","POB. CAUQUENES PJE. 19 S/N","73 - 511707","lupamerino@gmail.com","no","si","no","no","no","no","no"
3649,"ESCUELA ESPECIAL LAS ACACIAS","Municipal Daem","Ilustre Municipalidad De Chillan",8,"CHILLÁN","POB. EL TEJAR, PJE.3 PONIENTE S/N","42 - 210982","lasacacias207@gmail.com","no","si","no","no","no","no","no"
3725,"ESCUELA ESPECIAL DIFERENCIAL AVANZANDO JUNTOS","Particular Subvencionado","Corporación Educacional Avanzando Juntos",8,"CHILLÁN","AV. COLON N° 431","42 - 2212852","corporacionavanzandojuntos@gmail.com","no","si","no","no","no","no","no"
3727,"ESCUELA BASICA DIFERENCIAL EL ROBLE","Particular Subvencionado","Sociedad Educativa Pentalpha Limitada",8,"CHILLÁN","ISABEL RIQUELME N° 441","42 - 2225717","mutillita@gmail.com","no","si","no","no","no","no","no"
3748,"ESCUELA ESPECIAL RENACER","Municipal Daem","Ilustre Municipalidad De San Carlos",8,"SAN CARLOS","GRAL. VENEGAS N° 85","42 - 411618","escuelaespecialrenacer@gmail.com","no","si","no","no","no","no","no"
4187,"ESCUELA BÁSICA ESPERANZA","Municipal Daem","Ilustre Municipalidad De Los Angeles",8,"LOS ÁNGELES","ALMAGRO N 148","43 - 2320631","blopez@educacionlosangeles.cl","no","si","no","no","no","no","no"
4260,"CENTRO EDUC. Y CAPAC. LABORAL CECAP","Particular Subvencionado","Cen. Educ. Y De Capac.Lab. Ltda. O Cecap Ltda",8,"LOS ÁNGELES","AVDA. ALEMANIA N° 353","43 - 2318336","cecap.educa@gmail.com","no","si","no","no","no","no","no"
4381,"CENTRO DE LENGUAJE Y APRENDIZAJE","Particular Subvencionado","Sociedad Educativa Pentalpha Limitada",8,"SANTA BÁRBARA","CARRERA N° 445","43 - 2581649","mutillita@gmail.com","no","si","no","no","no","no","no"
4543,"ESCUELA ESPECIAL CHILE ESPAÑA","Municipal Daem","Ilustre Municipalidad De Concepcion",8,"CONCEPCIÓN","PEDRO DE VALDIVIA N° 651","41 - 2331204","chilespana@daemconcepcion.cl","no","si","no","no","no","no","no"
4546,"CENTRO INTEGRADO DE EDUCACIÓN ESPECIAL","Municipal Daem","Ilustre Municipalidad De Concepcion",8,"CONCEPCIÓN","MANUEL BULNES N° 1655 CONCEPCIÓN","41 - 2234031","centrointegrado@daemconcepcion.cl","no","si","no","no","no","no","no"
4550,"ESCUELA DIFERENCIAL PIERRE MENDES FRANCE","Municipal Daem","Ilustre Municipalidad San Pedro De La Paz",8,"SAN PEDRO DE LA PAZ","PASAJE LOS ESCOLAPIOS VILLA SAN PEDRO N° 1751","41 - 2505780","pierremendes@gmail.com","no","si","no","no","no","no","no"
4638,"UNIDAD DE INTEGRACIÓN DEL LIMITADO VISUAL","Particular Subvencionado","Corporacion De Ayuda Al Limitado Visual",8,"CONCEPCIÓN","LAS HERAS N° 706","41 - 2125311","patricio.parada@coalivi.cl","no","no","si","no","no","no","no"
4741,"ESCUELA DIFERENCIAL PUERTA NUEVA","Municipal Daem","Ilustre Municipalidad De Talcahuano",8,"TALCAHUANO","1 PONIENTE N°395 POBLACIÓN ESMERALDA (MEDIO CAMINO)","41 - 2416097","puerta.nueva@daemtalcahuano.cl","no","si","no","no","no","no","no"
4751,"CENTRO LABORAL POLIVALENTE ALONKURA","Municipal Daem","Ilustre Municipalidad De Talcahuano",8,"TALCAHUANO","HONDURAS N° 900 POBLACIÓN LEONOR MASCAYANO N° 900","41 - 2590963","centro.alonkura@daemtalcahuano.cl","no","si","no","no","no","no","no"
4768,"CENTRO INTEGRAL LOS AROMOS","Particular Subvencionado","Fundacion Educacion Coanil",8,"HUALPÉN","O HIGGINS S/N POB. SANTA LEONOR","41 - 2415456","uelosaromos@coanil.cl","no","si","no","no","no","no","no"
4803,"ESCUELA DIFERENCIAL MARTA STOWHAS KARGUS","Municipal Daem","Ilustre Municipalidad De Penco",8,"PENCO","FREIRE N° 260","41 - 2183847","emsto579@gmail.com","no","si","no","no","no","no","no"
4827,"ESCUELA ESPECIAL TOMÉ","Municipal Daem","Ilustre Municipalidad De Tome",8,"TOMÉ","NOGUEIRA N° 989","41 - 2650805","escuela.especial.tome@gmail.com","no","si","no","no","no","no","no"
4950,"ESCUELA ESPECIAL LUIS COUSINO SQUELLA","Municipal Daem","Ilustre Municipalidad De Lota",8,"LOTA","AVDA.  LOS TILOS S/N","41 - 2877782","lcousque@gmail.com","no","si","no","no","no","no","no"
4979,"ESCUELA DIFERENCIAL MARÍA ESTER BREVE GONZÁLEZ","Municipal Daem","Ilustre Municipalidad De Coronel",8,"CORONEL","J ANTONIO RIOS  POB. CAMILO OLAVARRIA N° 1388","41 - 2717873","esc.mariaesterbreve@demcoronel.cl","no","si","no","no","no","no","si"
5022,"ESCUELA ESPECIAL JUAN SANDOVAL CARRASCO","Municipal Daem","Ilustre Municipalidad De Lebu",8,"LEBU","SAAVEDRA N° 649","41 - 2511260","esc_jscarrasco@hotmail.com","no","si","no","no","no","no","no"
5094,"ESCUELA SANTA TERESA DE LOS ANDES","Municipal Daem","Ilustre Municipalidad De Curanilahue",8,"CURANILAHUE","PASAJE 4 POBLACION ELEUTERIO RAMIREZ S/N","41 - 2690361","estarielp@gmail.com","no","si","no","no","no","no","no"
5230,"ESCUELA ESPECIAL ESPANA","Municipal Daem","Ilustre Municipalidad De Angol",9,"ANGOL","CAUPOLICAN N° 901","45 - 711822","escuelaespa@educangol.cl","no","si","no","no","no","no","no"
5338,"ESC. BASICA JUSTO SCHWEITZER M.","Municipal Daem","Ilustre Municipalidad De Lonquimay",9,"LONQUIMAY","CAMINO INTERNACIONAL KM.18  S/N","45 - 2411020","eelolen@gmail.com","no","si","no","no","no","no","no"
5350,"ESCUELA ESPECIAL LOS VOLCANES","Municipal Daem","Ilustre Municipalidad De Curacautin",9,"CURACAUTÍN","IQUIQUE N° 225","45 - 2882361","especial@educacioncuracautin.cl","no","si","no","no","no","no","no"
5401,"ESCUELA ESPECIAL CONFEDERACION SUIZA","Municipal Daem","Ilustre Municipalidad De Victoria",9,"VICTORIA","AVDA. O`HIGGINS Nº 0385","45 - 2296538","paulagutierrezjimenez799@gmail.com","no","si","no","no","no","no","no"
5598,"ESCUELA ESPECIAL NIELOL","Municipal Daem","Ilustre Municipalidad De Temuco",9,"TEMUCO","BALMACEDA N° 325","45 - 2212172","especialnielol@temuco.cl","no","si","no","no","no","no","no"
5677,"ESC. ESP.RETARDO MENTAL LAS ARAUCARIAS","Particular Subvencionado","Fundacion Educacion Coanil",9,"TEMUCO","SAN MARTIN N° 0439","45 - 2242154","belen.pontigo@coanil.cl","no","si","no","no","no","no","no"
6091,"ESC.ESP.RET.MENTAL BEATO LUIS ORIONE","Municipal Daem","Ilustre Municipalidad De Villarrica",9,"VILLARRICA","FRANCISCO BILBAO N° 1220","45 - 412450","janetmarcos.ma@gmail.com","no","si","no","no","no","no","no"
6167,"ESC. ESP.RET.MENTAL PAUL HARRIS","Municipal Daem","Ilustre Municipalidad De Freire",9,"FREIRE","AVDA. SCHLEYER N° 30","45 - 2759635","paulha.2010@gmail.com","no","si","no","no","no","no","no"
6308,"ESCUELA ESPECIAL RETARDO MENTAL WE NEPEN","Municipal Daem","Ilustre Municipalidad De Loncoche",9,"LONCOCHE","AVENIDA  BRASIL N° 478","45 - 2744666","escuelawenepenloncoche@gmail.com","no","si","no","no","no","no","no"
6590,"ESC. ESP.RET.MENTAL AVANCEMOS JUNTOS","Municipal Daem","Ilustre Municipalidad De Nueva Imperial",9,"NUEVA IMPERIAL","GOROSTIAGA N° 235","45 - 613412","avancemosjuntos@nuevaimperial.cl","no","si","no","no","no","no","si"
6768,"ESCUELA DIFERENCIAL ANN SULLIVAN","Municipal Daem","Ilustre Municipalidad De Valdivia",14,"VALDIVIA","PASAJE SEIS N° 1179","63 - 213714","eannsulli@gmail.com","no","no","si","no","no","no","no"
6786,"ESCUELA ESPECIAL WALTER SCHMIDT ROESTEL","Municipal Daem","Ilustre Municipalidad De Valdivia",14,"VALDIVIA","JOSE MUÑOZ HERMOSILLA S/N","63 - 214372","escuelawalterschmidt@gmail.com","no","si","no","no","no","si","no"
7132,"ESC.DIFERENC.VILLA SAN JOSE DE LA UNION","Municipal Daem","Ilustre Municipalidad De La Union",14,"LA UNIÓN","MANUEL RODRIGUEZ N° 958","64 - 2322492","escueladiferencial@gmail.com","no","si","no","no","no","no","no"
7353,"ESCUELA ESPECIAL `ANA AICHELE CARRASCO`","Municipal Daem","Ilustre Municipalidad De Osorno",10,"OSORNO","EL ALBA S/N","64 - 234067","escuelaespecial@imo.cl","si","si","no","no","no","no","no"
7386,"ESCUELA PARTICULAR N.136 `JEAN PIAGET`","Particular Subvencionado","Soc.Educ.Y.Desarrollo.Social.Jean Piaget Ltda",10,"OSORNO","ANTOFAGASTA N° 562","64 - 2233007","jeanpiaget30@gmail.com","no","si","no","no","no","no","no"
7645,"ESCUELA DIFERENCIAL `LOS EUCALIPTOS`","Municipal Daem","Ilustre Municipalidad De Puerto Montt",10,"PUERTO MONTT","EUCALIPTUS S/N POBLACION LA COLINA","65 - 484522","edeucali@hotmail.com","no","si","no","no","no","no","no"
7719,"ESCUELA ESPECIAL N.280 `C.T.I. LOS NOTROS`","Particular Subvencionado","Fundacion Educacion Coanil",10,"OSORNO","LOS CARRERA N° 723","64 - 2311489","uelosnotros@coanil.cl","no","si","no","no","no","no","no"
8041,"ESCUELA DIFERENCIAL `ANTU- KAU`","Municipal Corporación","Corporacion Municipal De Castro",10,"CASTRO","PABLO NERUDA N° 802","65 - 636927","rcatalan@corpocas.cl","no","si","no","no","no","no","no"
8107,"ESCUELA DIFERENCIAL `SAN CARLOS DE ANCUD`","Municipal Corporación","Corporacion Municipal De Ancud",10,"ANCUD","ALMIRANTE LATORRE N° 580","65 - 2622231","escuela_sancarlos@hotmail.com","no","si","no","no","no","no","no"
8348,"ESCUELA BAQUEDANO","Municipal Daem","Ilustre Municipalidad De Coyhaique",11,"COYHAIQUE","AV. BAQUEDANO N° 1427","67 - 675014","esbaquedano@gmail.com","no","no","no","si","no","no","no"
8351,"ESCUELA DIFERENCIAL ESPANA","Municipal Daem","Ilustre Municipalidad De Coyhaique",11,"COYHAIQUE","LOS MANIOS N° 475","67 - 2675020","escuelaespanacoyhaique@gmail.com","no","si","no","no","no","no","no"
8374,"ESCUELA  DESPERTAR","Municipal Daem","Ilustre Municipalidad De Aysen",11,"AYSÉN","LUIS BUSTOS   - RIBERA SUR N° 246","6 - 2336610","escueladiferencial@puertoaysen.cl","no","si","no","no","no","no","no"
